3 2 0 3 1 0 2 0 0 | 10 10 7 10 
0 1 1 1 3 0 0 0 0 | 10 10 -54.6973 10 
4 0 0 1 0 2 0 0 0 | 3.4 3.4 -46.9158 10 
0 2 1 0 1 0 0 0 2 | 10 10 10 -56 
2 1 0 0 4 0 0 0 1 | 10 67.7503 10 10 
0 2 1 0 0 0 0 0 2 | 4.39456 -52.9293 3.4 10 
1 0 0 0 1 3 0 0 0 | 10 10 7.39269 10 
2 1 2 2 0 0 0 0 0 | 10 45.6446 10 10 
4 0 3 1 1 0 0 0 0 | 10 10 10 -50.9 
0 4 0 1 1 0 0 3 0 | 10 10 -50.9 10 
1 4 1 0 2 0 0 2 0 | 10 10 10 3.4 
2 1 0 0 2 0 0 3 0 | 10 16.2144 10 10 
0 4 1 0 1 0 0 4 0 | 4.50052 -53.5245 10 10 
3 1 2 1 4 0 0 0 2 | -50.9 10 10 10 
3 1 2 0 0 0 0 0 3 | 10 10 10 3.4 
2 1 0 0 1 0 0 4 0 | 10 17.2042 10 10 
2 3 1 1 0 0 0 0 4 | 10 10 10 8.5 
2 4 1 0 0 1 0 0 0 | 10 10 10 6.38408 
4 0 0 0 1 2 0 0 0 | 3.4 10 10 10 
0 1 3 0 4 0 0 4 0 | -50.9 10 10 10 
2 3 1 1 0 0 0 0 0 | 3.4 -50.9 10 10 
2 4 0 1 0 0 0 0 2 | 3.4 10 10 10 
3 1 0 2 1 0 0 0 0 | 10 10 35.5083 10 
3 1 0 3 1 0 0 0 0 | 10 10 7 10 
0 2 1 4 1 0 0 0 0 | 10 10 8.5 10 
2 4 0 3 1 0 3 0 0 | 10 10 10 -55.5264 
2 1 0 3 0 0 4 0 0 | 10 10 10 3.91288 
2 2 0 3 1 0 0 0 0 | 10 10 4.29844 10 
1 0 1 3 0 0 0 0 3 | 10 10 3.4 10 
0 0 0 4 1 0 3 0 0 | 10 8.5 10 10 
4 4 0 1 3 0 0 0 0 | 6.95764 7.15354 -47.82 10 
0 3 0 1 0 1 0 0 0 | -10.4992 10 10 10 
2 1 4 2 0 0 3 0 0 | -50.9 10 10 10 
2 1 0 2 0 0 4 0 0 | 10 7 10 10 
4 0 1 0 0 1 0 0 0 | 10 10 10 15.953 
3 0 0 1 0 0 0 0 0 | 6.50735 10 10 10 
2 1 0 1 4 0 1 0 0 | 10 10 -55.0179 10 
0 3 0 1 3 0 0 2 0 | 10 4.37746 10 10 
0 4 1 3 1 0 0 0 0 | 10 10 10 -56 
0 1 3 0 4 0 0 0 3 | 10 5.134 10 10 
3 0 1 3 0 0 0 0 0 | 14.13 10 10 10 
4 1 0 1 0 0 4 0 0 | -50.231 10 10 10 
3 0 3 3 1 0 0 0 0 | 5.36524 10 7 10 
0 4 0 1 0 0 3 0 0 | 10 10 10 5.77237 
0 1 0 2 0 0 4 0 0 | 10 10 4.9947 10 
0 0 1 2 4 0 0 0 0 | 10 -50.9 10 10 
4 0 2 1 4 0 0 0 0 | 3.4 4.69791 -47.0048 10 
0 1 3 0 0 0 1 0 0 | -50.9 10 10 10 
1 0 1 0 2 0 0 3 0 | 36.6508 10 10 10 
4 1 1 1 0 0 0 0 1 | 10 -55.4237 10 10 
2 0 4 2 1 0 0 0 0 | 10 10 4.07397 10 
3 1 0 0 4 0 4 0 0 | -54.2773 8.5 10 10 
3 0 1 0 2 3 0 0 0 | 10 -50.9 10 10 
3 0 1 0 1 1 0 0 0 | 10 10 27.7879 10 
4 0 4 1 0 2 0 0 0 | 10 10 10 80.3735 
0 0 0 0 1 0 0 2 0 | 10 4.80446 10 10 
4 3 0 1 0 0 2 0 0 | 10 10 -49.0752 10 
2 1 3 0 0 0 0 2 0 | -42.0566 10 8.5 10 
3 3 1 0 0 2 0 0 0 | 10 -50.9 10 10 
2 1 0 2 0 0 0 0 4 | 10 12.3568 10 10 
0 4 0 1 0 3 0 0 0 | 3.4 10 10 10 
2 1 3 2 0 0 0 0 0 | -48.283 55.6554 10 8.5 
1 4 1 3 1 3 0 0 0 | 10 10 3.4 10 
1 0 1 3 0 4 0 0 0 | 10 10 10 4.45145 
2 1 0 1 0 0 0 0 2 | 10 10 -56 10 
1 3 0 3 1 0 3 0 0 | 10 10 4.31887 10 
3 1 0 0 1 0 0 3 0 | -43.1328 10 10 10 
0 0 0 0 1 0 0 0 2 | 10.2359 10 10 10 
1 0 1 0 2 0 0 0 1 | 10 10 3.4 10 
4 1 0 0 2 0 1 0 0 | -50.9 10 10 10 
0 1 0 1 2 0 3 0 0 | 10 8.5 10 10 
4 4 0 1 0 2 0 0 0 | 10 10 10 13.566 
2 0 1 0 4 0 0 0 0 | 10 10 19.9902 10 
0 3 0 1 0 0 0 3 0 | 10 5.22696 10 10 
2 0 2 1 1 0 0 0 0 | 10 10 10 -51.5332 
1 1 1 4 0 0 0 0 0 | -50.9 10 10 10 
1 0 2 4 1 4 0 0 0 | 10 3.4 10 10 
1 1 0 1 4 4 0 0 0 | -56 10 10 10 
1 0 1 4 0 4 0 0 0 | 7 10 10 10 
2 3 2 1 0 0 0 0 0 | 10 10 -51.5621 10 
0 1 4 3 0 0 0 0 1 | -48.3918 10 10 10 
0 0 1 3 1 3 0 0 0 | 10 10 10 -54.6384 
3 0 2 0 1 1 0 0 0 | -12.5345 10 10 10 
0 0 1 0 0 0 2 0 0 | 8.5 10 10 10 
0 0 4 1 4 0 0 4 0 | 7.30926 10 10 10 
2 1 4 0 0 0 0 3 0 | -47.3283 32.5792 10 3.4 
0 1 0 3 1 0 1 0 0 | -56 10 10 10 
0 2 1 4 0 0 0 1 0 | 6.6017 10 10 10 
0 0 1 1 1 0 0 0 3 | 10 10 10 -50.9 
1 0 1 2 4 0 0 0 2 | 10 10 3.4 10 
1 2 0 1 1 0 0 0 0 | 34.6105 10 10 10 
0 3 0 1 0 0 0 0 3 | 14.0209 10 -50.9 10 
0 3 1 3 0 0 0 0 4 | 10 10 10 3.4 
3 2 1 4 0 0 0 0 0 | 10 -50.9 10 10 
4 2 1 0 1 0 0 0 0 | 10 10 10 -37.4538 
0 1 0 0 1 3 0 0 0 | 10 10 10 -55.3895 
0 1 1 0 1 0 0 2 0 | -53.0725 10 10 -56 
0 0 0 1 1 2 0 0 0 | 10 3.4 10 10 
2 1 0 3 2 0 0 0 0 | -50.9 10 10 10 
0 4 1 0 0 0 0 0 3 | 4.49025 10 10 10 
0 1 1 0 0 0 0 0 4 | 10 -54.6944 10 10 
3 3 0 3 1 0 0 0 0 | 8.80148 3.4 10 -52.43 
3 0 1 0 1 0 0 4 0 | 6.80016 10 10 10 
0 0 0 3 1 0 3 0 0 | 10 10 10 -54.9685 
0 1 0 3 0 0 3 0 0 | 10 10 4.96241 10 
0 4 0 1 0 0 4 0 0 | 10 3.4 10 10 
2 4 1 1 0 0 0 0 0 | 8.5 -50.9 10 10 
3 0 0 0 1 0 0 0 2 | 10 10 12.1 10 
3 0 1 0 3 0 0 0 1 | 10 10 7 10 
0 0 2 1 4 0 0 3 0 | 10 10 -50.9 10 
3 1 1 2 2 0 0 0 0 | -52.8024 10 10 10 
1 2 0 1 3 0 0 0 0 | 10 10 10 5.24783 
1 0 0 0 1 0 4 0 0 | 27.0678 10 10 10 
3 4 0 0 1 0 3 0 0 | 10 10 10 -43.6431 
0 0 1 1 2 0 0 3 0 | 10 10 10 8.5 
3 0 4 2 1 0 0 0 0 | 5.13458 7.26338 37.643 10 
2 0 3 4 1 0 0 0 0 | 7.735 10 10 -41.7273 
0 1 4 0 3 0 3 0 0 | 10 10 3.91592 10 
0 3 2 0 1 0 0 0 0 | 10 7.19216 10 10 
0 0 1 0 1 0 3 0 0 | 11.9263 10 10 10 
3 0 1 0 2 0 2 0 0 | 10 10 10 3.4 
0 0 1 1 1 2 0 0 0 | 10 10 10 -52.6322 
1 0 0 1 2 0 4 0 0 | 10 10 -55.164 10 
4 2 1 1 0 0 0 0 0 | 10 10 -52.43 10 
0 1 0 0 3 0 4 0 0 | -55.1215 3.4 10 10 
1 0 4 1 1 0 0 0 0 | 30.8009 10 10 10 
4 1 4 0 3 0 0 0 0 | -53.445 7.735 10 10 
1 3 1 0 2 0 0 0 0 | 23.833 10 10 10 
0 4 0 4 1 0 0 2 0 | 10 10 10 -50.9 
0 1 2 2 1 0 0 0 0 | -53.4344 10 10 10 
0 4 1 0 0 0 0 3 0 | 10 10 3.4 10 
2 3 0 1 1 0 0 0 0 | 10 30.1364 10 10 
0 1 0 3 0 0 4 0 0 | 10 10 10 4.4314 
3 3 1 4 0 0 0 0 0 | 10 10 10 3.4 
2 1 1 2 0 0 0 0 0 | 10 -50.9 10 10 
